# graph knn skin 2.00
# frame nAtoms nRings nSix nHC nDDC ringFull_ms ringInc_ms ringRecomp affilBatch_ms affilInc_ms affilReclass skinRebuild bondChurn ringsEqual affilEqual
1 4096 8192 8192 0 8192 25.424 26.167 4096 119.243 116.855 8192 R 4096 yes yes
2 4096 8192 8192 0 8192 16.825 0.846 0 98.262 11.476 0 R 0 yes yes
3 4096 8192 8192 0 8192 22.707 1.273 0 103.469 12.198 0 R 0 yes yes
4 4096 8192 8192 0 8192 22.712 0.990 0 99.668 12.206 0 R 0 yes yes
5 4096 8192 8192 0 8192 16.816 0.785 0 93.125 10.875 0 R 0 yes yes
6 4096 8192 8192 0 8192 21.006 1.070 0 95.199 11.502 0 R 0 yes yes
7 4096 8192 8192 0 8192 21.501 1.237 0 92.930 11.335 0 R 0 yes yes
8 4096 8192 8192 0 8192 24.999 1.449 0 108.483 11.675 0 R 0 yes yes
9 4096 8192 8192 0 8192 20.388 0.960 0 100.283 11.680 0 R 0 yes yes
10 4096 8192 8192 0 8192 20.604 0.767 0 96.259 11.111 0 R 0 yes yes
11 4096 8192 8192 0 8192 17.662 0.743 0 85.751 9.273 0 R 0 yes yes
# steady ringFull_ms 20.522 ringInc_ms 1.012 affilBatch_ms 97.343 affilInc_ms 11.333 allEqual yes
