# data/public-ice/critical/Critical-nucleus_analysis-trajectory/Critical-nucleus-analysis-melting nframes 1001 last 1001 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 2880 85 83 161 20 217 2314 168 151 16 418 340 7 81 196 159 436 384 5
2 2880 80 83 195 31 213 2278 163 140 20 375 347 3 72 170 162 404 350 5
3 2880 90 85 189 22 243 2251 175 156 19 411 355 4 85 180 157 422 378 4
4 2880 84 76 171 30 287 2232 160 141 18 370 346 3 52 182 162 396 356 4
5 2880 85 83 162 40 227 2283 168 148 20 387 361 3 70 154 160 384 354 3
6 2880 85 82 188 29 239 2257 167 140 23 395 347 3 97 161 151 409 349 4
7 2880 89 87 168 20 232 2284 176 156 16 395 345 5 112 173 146 431 353 5
8 2880 93 79 175 27 253 2253 172 146 25 402 364 3 85 203 147 435 363 4
9 2880 87 81 166 30 247 2269 168 151 18 416 368 5 86 166 142 394 370 3
10 2880 94 88 187 22 222 2267 182 159 17 399 351 5 52 182 154 388 362 3
11 2880 86 90 182 36 224 2262 176 153 24 379 355 3 87 172 153 412 362 4
12 2880 76 77 165 31 235 2296 153 139 15 436 320 8 125 167 145 437 347 7
13 2880 77 84 148 33 220 2318 161 146 15 428 346 6 94 210 142 446 364 5
14 2880 79 80 165 27 237 2292 159 142 17 382 318 5 75 167 145 387 323 5
15 2880 76 80 180 29 222 2293 156 137 20 334 308 3 51 148 147 346 320 3
16 2880 77 82 195 30 249 2247 159 139 18 397 312 7 60 143 150 353 315 4
17 2880 87 88 192 30 202 2281 175 150 22 398 314 7 119 148 149 416 320 8
18 2880 83 100 196 25 213 2263 183 160 22 411 363 5 114 165 146 425 353 6
19 2880 82 87 172 28 209 2302 169 151 17 447 347 9 95 170 149 414 354 5
20 2880 76 90 207 25 221 2261 166 137 29 388 314 6 117 170 137 424 332 7
21 2880 86 74 176 28 205 2311 160 148 12 369 331 4 66 164 144 374 334 4
22 2880 86 81 182 29 216 2286 167 143 21 383 305 7 56 200 137 393 313 7
23 2880 82 78 187 31 208 2294 160 147 14 387 323 6 62 178 139 379 327 5
24 2880 84 88 163 21 212 2312 172 145 26 402 334 6 73 173 140 386 336 5
25 2880 78 92 204 22 214 2270 170 137 30 351 313 4 46 171 138 355 317 4
26 2880 82 94 204 27 231 2242 176 153 19 378 305 6 86 195 134 415 321 7
27 2880 85 95 219 36 239 2206 180 141 33 446 341 8 110 183 149 442 346 8
28 2880 89 93 221 31 208 2238 182 159 22 424 348 7 106 193 151 450 356 7
29 2880 85 85 197 28 202 2283 170 140 26 392 328 5 112 160 133 405 317 7
30 2880 77 94 180 24 205 2300 171 151 19 408 332 5 85 150 142 377 329 4
31 2880 74 93 184 29 203 2297 167 146 20 439 334 7 114 144 133 391 331 5
32 2880 77 83 183 29 233 2275 160 141 19 375 321 5 76 142 134 352 310 4
33 2880 73 91 210 28 233 2245 164 128 32 436 348 8 124 139 133 396 330 6
34 2880 74 95 196 24 231 2260 169 146 23 424 339 7 103 167 142 412 344 6
35 2880 75 85 149 32 245 2294 160 143 18 386 310 6 100 143 128 371 303 5
36 2880 84 104 201 26 231 2234 188 153 30 354 318 4 84 132 132 348 324 3
37 2880 75 79 191 27 223 2285 154 129 23 367 329 4 78 129 138 345 319 3
38 2880 81 99 179 19 219 2283 180 154 21 381 331 5 116 126 141 383 331 5
39 2880 70 82 163 30 212 2323 152 135 18 379 319 6 87 91 139 317 317 1
40 2880 75 97 177 22 202 2307 172 144 25 388 304 5 130 123 140 393 304 5
41 2880 75 77 195 33 237 2263 152 134 18 345 283 6 108 114 132 354 292 6
42 2880 78 89 173 29 239 2272 167 148 18 364 328 4 95 125 145 365 341 3
43 2880 74 89 181 27 219 2290 163 135 25 330 318 2 97 121 133 351 327 3
44 2880 85 91 179 36 262 2227 176 155 19 337 325 2 100 112 136 348 324 3
45 2880 79 81 172 33 262 2253 160 144 17 367 343 3 107 119 141 367 343 3
46 2880 82 104 200 30 222 2242 186 160 26 369 333 4 144 115 153 412 376 4
47 2880 82 86 162 29 231 2290 168 146 21 400 316 7 107 123 141 371 323 4
48 2880 81 84 177 30 224 2284 165 147 19 392 320 6 110 121 134 365 317 5
49 2880 76 97 148 34 257 2268 173 149 23 335 323 2 90 135 142 367 329 4
50 2880 81 87 155 23 234 2300 168 146 22 335 323 2 80 125 138 343 317 3
51 2880 74 99 187 23 236 2261 173 146 24 373 325 5 85 116 140 341 329 2
52 2880 84 91 147 34 234 2290 175 156 18 317 305 2 73 126 134 333 321 2
53 2880 71 75 156 26 233 2319 146 133 14 317 292 3 58 152 125 335 323 2
54 2880 81 93 166 25 237 2278 174 149 24 337 323 2 62 170 129 361 331 3
55 2880 79 87 160 35 214 2305 166 152 15 318 272 3 41 192 117 350 286 4
56 2880 81 81 145 23 238 2312 162 142 17 366 292 4 58 183 119 360 346 2
57 2880 73 93 181 14 208 2311 166 138 29 360 292 4 103 156 128 387 315 3
58 2880 81 75 179 27 210 2308 156 137 19 363 295 4 55 157 128 340 296 3
59 2880 81 92 196 20 196 2295 173 146 27 364 302 3 46 177 125 348 298 3
60 2880 83 88 192 24 186 2307 171 143 29 368 298 4 74 155 129 358 302 4
61 2880 79 86 195 23 205 2292 165 143 22 380 298 5 65 155 132 352 308 4
62 2880 80 100 155 27 204 2314 180 157 24 364 320 3 53 194 129 376 312 4
63 2880 74 94 225 26 210 2251 168 136 27 371 331 4 43 192 128 363 335 3
64 2880 71 82 207 23 224 2273 153 132 22 391 309 6 53 196 120 369 297 5
65 2880 83 90 168 19 208 2312 173 150 23 440 297 9 80 194 127 401 303 6
66 2880 86 75 182 25 237 2275 161 145 16 373 299 6 51 183 122 356 294 5
67 2880 84 90 177 14 195 2320 174 149 24 349 285 6 75 188 118 381 295 7
68 2880 81 90 222 24 206 2257 171 143 27 435 300 9 75 197 118 390 308 7
69 2880 78 81 202 22 209 2288 159 128 28 419 309 8 81 180 115 376 282 8
70 2880 78 86 198 28 206 2284 164 128 27 415 295 9 133 167 122 422 304 10
71 2880 72 86 171 27 192 2332 158 133 22 404 298 9 130 164 121 415 325 8
72 2880 78 83 188 31 229 2271 161 138 21 483 311 11 183 165 124 472 314 11
73 2880 78 88 181 24 217 2292 166 138 27 462 315 9 169 179 128 476 320 11
74 2880 81 90 211 29 218 2251 171 137 33 427 319 8 149 162 130 441 317 7
75 2880 75 77 201 23 241 2263 152 134 18 375 311 5 116 140 131 387 311 7
76 2880 82 94 184 15 228 2277 176 150 25 409 321 8 128 140 131 399 323 7
77 2880 72 98 168 27 214 2301 170 138 31 388 288 9 128 136 131 395 307 8
78 2880 72 79 185 23 217 2304 151 126 25 402 326 7 128 143 135 406 318 8
79 2880 75 77 198 24 202 2304 152 126 23 446 322 9 148 168 129 445 351 8
80 2880 85 94 182 33 232 2254 179 148 29 453 367 8 160 166 135 461 355 9
81 2880 79 91 190 20 220 2280 170 145 25 423 332 5 155 144 142 441 357 5
82 2880 80 94 200 26 207 2273 174 136 37 374 326 5 126 151 123 400 334 6
83 2880 79 76 204 26 254 2241 155 134 20 393 337 5 128 162 133 423 367 5
84 2880 74 78 213 28 205 2282 152 131 20 382 332 5 110 145 129 384 342 4
85 2880 80 93 221 21 201 2264 173 145 26 454 350 7 123 190 134 447 356 5
86 2880 86 83 224 25 209 2253 169 143 25 424 340 7 113 169 136 418 358 5
87 2880 82 87 202 22 181 2306 169 147 22 408 346 6 104 163 129 396 334 6
88 2880 78 86 207 21 229 2259 164 139 25 416 330 8 116 148 133 397 335 6
89 2880 85 86 191 28 221 2269 171 150 21 386 317 6 121 135 130 386 338 5
90 2880 86 99 206 25 214 2250 185 148 35 386 348 4 121 142 141 404 354 5
91 2880 79 93 215 25 201 2267 172 137 32 393 357 4 138 123 134 395 371 3
92 2880 85 81 233 30 209 2242 166 142 25 387 333 5 115 154 133 402 352 4
93 2880 84 89 221 28 215 2243 173 144 28 433 358 4 136 155 144 435 361 6
94 2880 76 87 211 28 249 2229 163 145 18 424 374 5 140 170 134 444 378 6
