# T seed polymorph n  nic nih nmixed nice nmax cubicity  nic0 nih0 nmixed0  chillice chillmax
205 50 ic 12  20.75 54.92 0.92 76.58 25.08 0.283  53.00 142.00 3.00  44.42 2.42
205 100 ic 12  21.25 49.00 0.00 70.25 15.75 0.302  100.00 142.00 3.00  42.42 2.75
205 200 ic 12  222.17 126.58 124.00 472.75 391.83 0.732  211.00 142.00 3.00  175.58 131.33
205 300 ic 12  397.00 154.33 114.75 666.08 619.33 0.768  346.00 130.00 3.00  298.17 256.75
205 450 ic 12  638.08 208.58 141.33 988.00 927.25 0.789  477.00 115.00 3.00  491.92 449.08
205 700 ic 12  936.08 226.83 282.33 1445.25 1428.50 0.843  724.00 103.00 3.00  807.58 768.25
215 50 ic 12  7.58 24.25 0.00 31.83 13.67 0.238  36.00 25.00 0.00  18.17 1.83
215 100 ic 12  5.08 20.92 0.00 26.00 13.75 0.196  85.00 37.00 0.00  17.67 1.83
215 200 ic 12  5.75 31.33 0.00 37.08 13.92 0.155  193.00 25.00 0.00  19.42 1.75
215 300 ic 12  305.08 135.58 155.67 596.33 577.50 0.773  317.00 25.00 0.00  283.33 261.58
215 450 ic 12  517.25 165.25 266.83 949.33 932.50 0.826  444.00 30.00 6.00  507.25 483.00
215 700 ic 12  1050.08 161.92 227.08 1439.08 1431.00 0.887  710.00 13.00 0.00  857.83 834.92
225 50 ic 12  3.58 22.08 0.00 25.67 12.58 0.140  36.00 30.00 0.00  12.42 1.83
225 100 ic 12  6.42 17.08 0.00 23.50 13.33 0.273  87.00 26.00 0.00  13.00 1.67
225 200 ic 12  4.67 19.17 0.00 23.83 12.58 0.196  198.00 30.00 2.00  13.00 1.67
225 300 ic 12  36.08 19.08 16.67 71.83 63.75 0.734  324.00 12.00 0.00  38.33 26.08
225 450 ic 12  288.67 152.92 197.33 638.92 627.00 0.761  463.00 12.00 0.00  338.58 325.00
225 700 ic 12  934.75 206.00 291.50 1432.25 1424.25 0.856  724.00 12.00 0.00  848.67 833.83
