dump,frame,n_ice,n_max,n_clusters,n_ic,n_ih,n_mixed,cubicity,chill_cubic,chill_hexagonal,chill_interfacial,chill_clathrate,chill_interclathrate,chill_water,chill_max
niu-critical-growing,1,423.0,371.0,5.0,159.0,88.0,176.0,0.7919621749408984,88.0,78.0,163.0,23.0,190.0,2338.0,154.0
niu-critical-growing,11,395.0,383.0,2.0,143.0,73.0,179.0,0.8151898734177215,103.0,94.0,161.0,34.0,221.0,2267.0,178.0
niu-critical-growing,21,447.0,423.0,3.0,163.0,102.0,182.0,0.7718120805369127,93.0,99.0,200.0,15.0,209.0,2264.0,161.0
niu-critical-growing,31,457.0,409.0,5.0,166.0,102.0,189.0,0.7768052516411379,116.0,90.0,230.0,25.0,221.0,2198.0,178.0
niu-critical-growing,41,477.0,447.0,3.0,188.0,104.0,185.0,0.7819706498951782,107.0,90.0,217.0,24.0,214.0,2228.0,172.0
niu-critical-growing,51,486.0,420.0,5.0,168.0,125.0,193.0,0.742798353909465,95.0,94.0,261.0,22.0,185.0,2223.0,157.0
niu-critical-growing,61,473.0,473.0,1.0,170.0,114.0,189.0,0.758985200845666,103.0,105.0,206.0,22.0,204.0,2240.0,177.0
niu-critical-growing,71,465.0,439.0,3.0,174.0,110.0,181.0,0.7634408602150538,113.0,101.0,234.0,25.0,192.0,2215.0,179.0
niu-critical-growing,81,430.0,430.0,1.0,169.0,90.0,171.0,0.7906976744186046,92.0,88.0,202.0,25.0,221.0,2252.0,161.0
niu-critical-growing,91,492.0,408.0,6.0,188.0,129.0,175.0,0.7378048780487805,103.0,86.0,241.0,16.0,210.0,2224.0,161.0
niu-critical-growing,101,463.0,401.0,4.0,207.0,69.0,187.0,0.8509719222462203,104.0,101.0,202.0,22.0,214.0,2237.0,182.0
niu-critical-growing,111,438.0,370.0,6.0,208.0,69.0,161.0,0.8424657534246576,104.0,87.0,197.0,26.0,225.0,2241.0,167.0
niu-critical-growing,121,414.0,374.0,4.0,165.0,73.0,176.0,0.8236714975845411,91.0,94.0,230.0,30.0,217.0,2218.0,162.0
