# data/public-ice/critical/Critical-nucleus_analysis-trajectory/Critical-nucleus-analysis-growing nframes 801 last 801 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 2880 88 78 163 23 190 2338 166 154 12 475 373 9 88 159 176 423 371 5
2 2880 95 86 205 23 230 2241 181 161 20 455 375 7 118 177 176 471 405 6
3 2880 92 87 159 26 207 2309 179 164 15 401 375 3 89 150 177 416 378 4
4 2880 93 87 184 38 221 2257 180 157 22 436 356 5 82 180 174 436 354 5
5 2880 93 93 205 18 209 2262 186 164 21 465 385 6 121 161 179 461 359 7
6 2880 96 96 175 22 207 2284 192 171 22 497 373 9 107 180 181 468 368 7
7 2880 98 90 193 26 204 2269 188 166 22 452 370 6 85 190 179 454 380 6
8 2880 87 84 175 29 214 2291 171 151 20 434 366 6 82 164 170 416 362 5
9 2880 91 96 168 26 226 2273 187 169 19 506 420 7 98 160 184 442 392 5
10 2880 100 91 162 25 216 2286 191 170 22 421 385 4 97 156 179 432 382 5
11 2880 103 94 161 34 221 2267 197 178 20 396 384 2 73 143 179 395 383 2
12 2880 92 80 188 43 209 2268 172 156 17 397 373 3 94 143 170 407 371 4
13 2880 96 87 175 25 283 2214 183 165 17 388 376 2 67 145 169 381 369 2
14 2880 93 86 173 21 238 2269 179 164 16 419 399 2 78 155 178 411 391 2
15 2880 97 103 180 22 190 2288 200 173 27 418 370 5 76 169 168 413 387 3
16 2880 86 95 183 25 211 2280 181 156 23 386 374 2 75 142 172 389 377 2
17 2880 92 96 187 29 189 2287 188 165 23 402 390 2 65 138 170 373 373 1
18 2880 85 97 163 30 230 2275 182 168 14 403 391 2 59 150 169 378 354 2
19 2880 97 100 194 22 236 2231 197 175 23 418 370 5 89 147 171 407 371 4
20 2880 101 94 200 31 195 2259 195 171 19 437 411 3 93 166 179 438 400 4
21 2880 93 99 200 15 209 2264 192 161 31 468 444 3 102 163 182 447 423 3
22 2880 106 103 188 30 226 2227 209 186 23 441 429 2 101 170 185 456 432 3
23 2880 108 97 187 24 219 2245 205 178 25 487 463 3 121 161 193 475 451 3
24 2880 106 93 209 22 227 2223 199 171 23 443 419 3 97 153 191 441 429 2
25 2880 110 105 209 28 205 2223 215 190 24 471 459 2 108 154 209 471 459 2
26 2880 106 103 193 24 224 2230 209 176 29 481 437 4 106 165 195 466 428 4
27 2880 109 105 193 30 209 2234 214 193 20 485 438 4 129 156 198 483 451 3
28 2880 109 101 224 22 226 2198 210 184 25 503 455 4 130 160 195 485 449 4
29 2880 113 91 182 21 211 2262 204 189 15 441 405 4 103 148 192 443 431 2
30 2880 110 102 225 27 198 2218 212 182 26 489 429 5 109 160 198 467 455 2
31 2880 116 90 230 25 221 2198 206 178 25 493 421 7 102 166 189 457 409 5
32 2880 111 116 202 29 218 2204 227 191 33 502 452 5 140 175 202 517 487 3
33 2880 105 96 220 29 228 2202 201 174 26 479 401 7 129 174 185 488 410 7
34 2880 106 99 211 27 242 2195 205 181 25 440 404 4 107 167 192 466 430 4
35 2880 111 101 192 21 239 2216 212 188 22 470 446 3 112 164 189 465 453 2
36 2880 111 100 215 32 208 2214 211 186 22 469 400 5 97 171 186 454 394 5
37 2880 113 101 206 15 230 2215 214 192 23 507 439 4 133 184 209 526 470 4
38 2880 109 94 261 16 217 2183 203 176 27 568 445 6 153 184 184 521 448 4
39 2880 106 95 236 24 207 2212 201 182 19 574 480 5 141 193 185 519 471 4
40 2880 111 106 215 21 208 2219 217 184 30 493 433 5 89 187 182 458 434 3
41 2880 107 90 217 24 214 2228 197 172 25 479 449 3 104 188 185 477 447 3
42 2880 105 108 202 27 206 2232 213 190 23 502 424 6 128 176 179 483 433 3
43 2880 108 89 219 22 205 2237 197 172 24 480 430 5 91 202 187 480 466 2
44 2880 106 98 242 12 208 2214 204 176 25 511 404 8 110 210 178 498 410 7
45 2880 110 95 206 22 182 2265 205 172 28 473 429 4 113 180 187 480 436 4
46 2880 109 102 253 18 212 2186 211 181 26 468 412 5 109 188 185 482 450 3
47 2880 106 108 214 20 207 2225 214 185 27 497 467 3 130 169 201 500 456 4
48 2880 107 100 248 16 193 2216 207 182 26 502 478 2 105 157 212 474 474 1
49 2880 113 102 223 28 189 2225 215 184 27 453 439 2 82 193 199 474 446 3
50 2880 104 108 207 27 208 2226 212 186 26 458 408 4 96 199 189 484 432 4
51 2880 95 94 261 22 185 2223 189 157 28 504 426 6 125 168 193 486 420 5
52 2880 111 95 216 22 183 2253 206 182 21 462 384 5 107 163 187 457 391 4
53 2880 106 95 213 19 176 2271 201 178 24 461 437 3 97 143 183 423 377 3
54 2880 101 105 207 18 196 2253 206 177 25 412 388 3 90 164 184 438 378 4
55 2880 107 99 215 24 201 2234 206 177 27 421 397 3 82 165 195 442 400 2
56 2880 100 90 197 17 188 2288 190 172 18 486 414 6 122 161 189 472 406 4
57 2880 105 98 207 26 202 2242 203 175 28 504 436 4 117 178 190 485 425 3
58 2880 93 100 254 25 199 2209 193 152 36 460 406 3 94 186 191 471 411 3
59 2880 99 108 226 16 201 2230 207 175 28 439 427 2 87 184 180 451 437 2
60 2880 110 98 238 19 191 2224 208 187 20 476 464 2 111 163 200 474 462 2
61 2880 103 105 206 22 204 2240 208 177 28 493 467 3 114 170 189 473 473 1
62 2880 99 91 216 27 227 2220 190 162 27 464 392 5 93 184 186 463 449 2
63 2880 105 100 199 20 199 2257 205 178 23 495 471 3 128 172 187 487 463 3
64 2880 99 93 210 18 215 2245 192 162 27 425 367 4 98 173 179 450 450 1
65 2880 94 96 190 29 219 2252 190 165 25 443 389 2 84 173 179 436 436 1
66 2880 104 81 223 28 180 2264 185 164 20 420 368 4 83 184 172 439 409 3
67 2880 96 99 200 28 201 2256 195 167 27 439 385 4 94 178 173 445 427 2
68 2880 99 105 231 26 189 2230 204 168 35 476 392 6 104 217 175 496 434 4
69 2880 104 105 228 26 191 2226 209 183 23 464 438 3 104 196 175 475 445 3
70 2880 98 95 222 21 217 2227 193 167 27 494 468 3 114 184 189 487 449 4
