# data/public-ice/nucleation/Ice_nucleation_trajectory/Nucleation_trajectory-2 nframes 1001 last 1001 stride 1
# frame nop chill_cubic chill_hex chill_interfacial chill_clathrate chill_interclathrate chill_water chill_ice chill_max chill_clus cut_ice cut_max cut_clus seed_ih seed_ic seed_both seed_ice seed_max seed_clus
1 2880 0 2 6 85 463 2324 2 1 2 24 12 2 24 0 0 24 12 2
2 2880 0 1 4 76 459 2340 1 1 1 12 12 1 0 0 0 0 0 0
3 2880 0 2 6 95 450 2327 2 1 2 24 12 2 0 0 0 0 0 0
4 2880 0 3 6 102 461 2308 3 2 2 0 0 0 0 0 0 0 0 0
5 2880 0 3 1 95 484 2297 3 1 3 0 0 0 0 0 0 0 0 0
6 2880 0 3 3 90 492 2292 3 1 3 63 14 5 12 0 0 12 12 1
7 2880 0 1 0 89 465 2325 1 1 1 24 12 2 0 0 0 0 0 0
8 2880 0 0 0 76 489 2315 0 0 0 24 12 2 0 0 0 0 0 0
9 2880 0 0 0 109 512 2259 0 0 0 48 12 4 0 0 0 0 0 0
10 2880 0 0 2 75 476 2327 0 0 0 36 12 3 0 0 0 0 0 0
11 2880 0 1 0 82 512 2285 1 1 1 24 12 2 0 0 0 0 0 0
12 2880 0 1 2 90 525 2262 1 1 1 24 12 2 0 0 0 0 0 0
13 2880 0 1 1 93 527 2258 1 1 1 0 0 0 0 0 0 0 0 0
14 2880 0 1 0 89 513 2277 1 1 1 12 12 1 0 0 0 0 0 0
15 2880 0 1 3 77 456 2343 1 1 1 12 12 1 12 0 0 12 12 1
16 2880 0 1 2 80 455 2342 1 1 1 0 0 0 0 0 0 0 0 0
17 2880 0 1 0 81 478 2320 1 1 1 24 12 2 12 0 0 12 12 1
18 2880 0 2 6 70 511 2291 2 1 2 24 12 2 0 0 0 0 0 0
19 2880 0 2 5 61 459 2353 2 1 2 24 12 2 0 14 0 14 14 1
20 2880 1 2 7 72 414 2384 3 1 3 12 12 1 12 0 0 12 12 1
21 2880 0 1 7 63 403 2406 1 1 1 24 12 2 12 0 0 12 12 1
22 2880 0 0 3 74 442 2361 0 0 0 0 0 0 0 0 0 0 0 0
23 2880 0 1 5 56 432 2386 1 1 1 12 12 1 0 0 0 0 0 0
24 2880 0 1 5 65 389 2420 1 1 1 14 14 1 0 0 0 0 0 0
