library=Ih label=Ih n=288 classes=1
library=Ic label=Ic n=216 classes=1
library=XI label=Ih n=288 classes=1
library=0 label=0 n=216 classes=2
library=III label=III/IX n=324 classes=2
library=IV label=IV n=384 classes=2
library=V label=V n=504 classes=4
library=VI label=VI n=270 classes=2
library=VII label=VII/VIII n=432 classes=422
library=VIII label=VII/VIII n=512 classes=319
library=IX label=III/IX n=324 classes=2
library=XII label=XII/XIV n=648 classes=2
library=XIV label=XII/XIV n=192 classes=2
library=XVI label=sII n=136 classes=3
library=XVII label=XVII n=216 classes=1
library=sI label=sI n=368 classes=3
library=sII label=sII n=136 classes=3
library=sT label=sT n=920 classes=10
library=sIV label=sIV n=320 classes=5
library=iceA label=iceA n=324 classes=2
library=iceB label=iceB n=384 classes=1
library=FAU label=FAU n=192 classes=1
library=RHO label=RHO n=384 classes=1
library=SOD label=SOD n=324 classes=1
library=census method=wl hops=3 keys=773 ambiguous=0 perlabel=0:2,FAU:1,III/IX|iceA:2,IV:2,Ic:1,Ih:1,RHO:1,SOD:1,V:4,VI:2,VII/VIII:740,XII/XIV:2,XVII:1,iceB:1,sI:2,sII|sIV|sT:1,sII|sT:2,sIV|sT:3,sI|sIV|sT:1,sT:3
library=fallback hops=2 keys=181 shared=8
test=Ic sigma=0.00 n=512 correct=1.000 other=0.000 unnamed=0.000 stack=3,2
test=Ic sigma=0.10 n=512 correct=1.000 other=0.000 unnamed=0.000 stack=3,2
test=Ic sigma=0.20 n=512 correct=0.926 other=0.074 unnamed=0.000 stack=3,2
test=Ic sigma=0.30 n=512 correct=0.174 other=0.706 unnamed=0.120 stack=3,2
test=Ih sigma=0.00 n=360 correct=1.000 other=0.000 unnamed=0.000 stack=3,2
test=Ih sigma=0.10 n=360 correct=1.000 other=0.000 unnamed=0.000 stack=3,2
test=Ih sigma=0.20 n=360 correct=0.976 other=0.024 unnamed=0.000 stack=3,2
test=Ih sigma=0.30 n=360 correct=0.182 other=0.681 unnamed=0.136 stack=3,2
atlas=Ih noise=0.0 n=288 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:288
atlas=Ih noise=1.0 n=288 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:288
atlas=Ih noise=2.0 n=288 correct=0.087 shared=0.406 unnamed=0.156 other=0.351 depth=3:25,2:218
atlas=Ic noise=0.0 n=216 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:216
atlas=Ic noise=1.0 n=216 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:216
atlas=Ic noise=2.0 n=216 correct=0.194 shared=0.398 unnamed=0.056 other=0.352 depth=3:42,2:162
atlas=XI noise=0.0 n=288 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:288
atlas=XI noise=1.0 n=288 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:288
atlas=XI noise=2.0 n=288 correct=0.125 shared=0.410 unnamed=0.135 other=0.330 depth=3:36,2:213
atlas=0 noise=0.0 n=216 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:216
atlas=0 noise=1.0 n=216 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:216
atlas=0 noise=2.0 n=216 correct=0.301 shared=0.153 unnamed=0.537 other=0.009 depth=3:6,2:94
atlas=III noise=0.0 n=324 correct=0.000 shared=1.000 unnamed=0.000 other=0.000 depth=3:324
atlas=III noise=1.0 n=324 correct=0.000 shared=0.562 unnamed=0.423 other=0.015 depth=3:34,2:153
atlas=III noise=2.0 n=324 correct=0.000 shared=0.006 unnamed=0.840 other=0.154 depth=3:1,2:51
atlas=IV noise=0.0 n=384 correct=1.000 shared=0.000 unnamed=0.000 other=0.000 depth=3:384
atlas=IV noise=1.0 n=384 correct=0.000 shared=0.016 unnamed=0.198 other=0.786 depth=3:4,2:304
atlas=IV noise=2.0 n=384 correct=0.000 shared=0.000 unnamed=0.810 other=0.190 depth=3:3,2:70
