# T pairs replica rows nice0 nice1 nmax0 nmax1 chill0 chill1 slope_nmax ionice ionfront ionliq
230 0 0 5001 918 1115 918 1115 746 880 0.0417 0 0 0
230 0 1 5001 942 1292 942 1292 779 1089 0.0688 0 0 0
230 10 0 5001 907 1116 907 1116 769 907 0.0233 2 9 9
230 10 1 5001 891 1140 891 1140 745 876 0.0346 1 12 7
230 20 0 5001 908 997 908 997 745 785 0.0225 1 14 25
230 20 1 5001 888 972 888 972 738 796 0.0156 0 10 30
230 40 0 5001 893 859 893 859 736 694 0.0026 0 17 63
230 40 1 5001 893 914 893 914 726 721 0.0022 1 23 56
240 0 0 5001 943 1322 943 1322 762 1055 0.0734 0 0 0
240 0 1 5001 936 1228 936 1228 768 1010 0.0662 0 0 0
240 10 0 5001 923 1052 923 1052 763 859 0.0266 0 7 13
240 10 1 5001 898 1122 898 1122 749 897 0.0339 0 10 10
240 20 0 5001 942 904 942 904 762 702 0.0013 1 8 31
240 20 1 5001 903 874 903 874 747 672 0.0100 0 6 34
240 40 0 5001 866 844 866 844 725 634 -0.0086 0 19 61
240 40 1 5001 887 844 887 844 717 621 -0.0089 0 19 61
245 0 0 5001 934 1406 934 1406 754 1134 0.0746 0 0 0
245 0 1 5001 920 1233 920 1233 759 1015 0.0584 0 0 0
245 10 0 5001 927 951 927 951 771 785 -0.0052 0 6 14
245 10 1 5001 895 931 895 931 766 729 0.0009 0 4 16
245 20 0 5001 888 749 888 749 730 572 -0.0236 0 3 37
245 20 1 5001 894 884 894 884 753 671 -0.0061 0 4 36
245 40 0 5001 865 722 865 722 730 503 -0.0239 0 6 74
245 40 1 5001 850 737 850 722 722 536 -0.0301 0 9 71
